title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Scapular Protraction (Bodyweight),/exercise/409,https://app.strength.muscleandmotion.com/exercise/409,Serratus Anterior,Pectoralis Major (Respiration),,Keep the arms straight. Push against the floor.,Bodyweight
Scapular Pull-up (Bodyweight),/exercise/457,https://app.strength.muscleandmotion.com/exercise/457,Lower Trapezius; Latissimus Dorsi,Rhomboid Muscles; Middle Trapezius,Abdominal Muscles; Wrist Flexors,The Scapular Pull-up is an isolation exercise for the lower trapezius. Start by standing in front of a pull-up bar and hold it in a pronated grip. Slightly lift your legs off the ground and hang on the pull-up bar with your arm extended and elbows straight. Pull your shoulder blades down without flexing your elbows. Slowly lower yourself back to the starting position by relaxing your shoulder blades and repeat for the desired number of repetitions.,Bodyweight
Scapular Push-up on Elbows,/exercise/1016,https://app.strength.muscleandmotion.com/exercise/1016,Serratus Anterior,,Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Quadriceps Femoris,"The Scapular Push-up on Elbows exercise is intended to improve scapular mobility, strengthen the Serratus Anterior muscle and strengthen the core muscles. Begin in a plank position on the elbows, while maintaining a neutral spine. Engage your abdominal muscles, allow your chest to sink in toward the ground while bringing your scapulae together (but no arch in the lower back). Now, push the elbows toward the floor round your upper back while separating the scapulae from one another.",
Scapular Retraction (Cable),/exercise/1469,https://app.strength.muscleandmotion.com/exercise/1469,Rhomboid Muscles; Middle Trapezius,Upper Trapezius; Lower Trapezius,Erector Spinae,"Sit upright on the rowing machine with your hands holding the handles and arms extended. Keep your elbows straight throughout the movement. Pull your shoulder blades back and together, focusing only on scapular movement without bending the elbows. Pause briefly, then return to the starting position with control while maintaining an upright posture.",Cable; Machine
Scissors (BOSU Dome Up),/exercise/874,https://app.strength.muscleandmotion.com/exercise/874,Abdominal Muscles; Iliacus; Psoas Major,Sartorius; Tensor Fasciae Latae,Abdominal Muscles; Iliacus; Psoas Major; Tensor Fasciae Latae; Sternohyoid; Pelvic Diaphragm; Diaphragm,"Place your sit bones (tailbone and bottom of the pelvis) at the peak of the BOSU dome. Lean back to the point where you can balance on your sit bones with your legs in the air. While maintaining slight forward flexion through your spine, begin to alternate kicking with straight legs.",BOSU
Seated Adductors and Hamstrings Stretch,/exercise/269,https://app.strength.muscleandmotion.com/exercise/269,,,,"Sit on the floor with legs straight, spreading your legs as wide as possible. Keep your back straight.",
Seated Adductors Hamstrings & Latissimus Stretches,/exercise/419,https://app.strength.muscleandmotion.com/exercise/419,,,,Sit on the floor with legs straight. Spread your legs as wide as possible and flex your body to the side.,
Seated Cable Row (Machine),/exercise/272,https://app.strength.muscleandmotion.com/exercise/272,Latissimus Dorsi,Teres Major; Posterior Deltoid; Rhomboid Muscles; Middle Deltoid; Levator Scapulae; Brachialis; Brachioradialis; Biceps Brachii,Erector Spinae; Gluteus Maximus; Quadriceps Femoris; Wrist Flexors; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Abdominal Muscles; Pelvic Diaphragm,"Sit tall with a straight back, keeping your chest lifted, and engage your back muscles. Pull the handles towards your torso while simultaneously squeezing your shoulder blades together. Keep your elbows close to your body and focus on using your back muscles, not your elbow flexor muscles. Continue pulling until the handles are just past your lower chest, and pause for a moment. Slowly return to the starting position and repeat for the desired number of repetitions.",Cable; Machine
Seated Calf Press (Machine),/exercise/947,https://app.strength.muscleandmotion.com/exercise/947,Soleus,Gastrocnemius; Tibialis Posterior; Peroneus Longus; Peroneus Brevis,,"Seated Calf Press with Machine. In addition to the activity of the Gastrocnemius, the Seated Calf raise exercise also places special emphasis on the soleus.",Machine
Seated Calf Raise (Bar),/exercise/619,https://app.strength.muscleandmotion.com/exercise/619,Soleus,Gastrocnemius; Tibialis Posterior; Flexor Hallucis Longus; Flexor Digitorum Longus; Peroneus Longus; Peroneus Brevis,,"The Seated Calf Raise with a bar is an Isolation exercise that is aimed at strengthening your soleus muscle. Start by sitting on a bench with your feet placed on a raised surface, shoulder-width apart, and place a barbell on your thighs. Hold the barbell with your arms for support and stability. Slowly lift your heels by contracting your calf muscles and extending your ankles. Hold the contraction at the top for a few seconds and then slowly lower your heels back down. Repeat the movement for the desired number of repetitions.",Barbell; Bench
Seated Crunches (Machine),/exercise/273,https://app.strength.muscleandmotion.com/exercise/273,Rectus Abdominis,External Oblique; Internal Oblique,Rectus Abdominis; Transversus Abdominis; Psoas Major; Sartorius,"The Machine Seated Crunch targets the rectus abdominis, allowing you to add resistance and effectively overload the abs while minimizing compensation from other muscles. Sit on the machine with your back against the pad and feet secured. Hold the handles and rest your elbows on the pads. Engage your core and bring your ribcage toward your pelvis. Pause briefly at the bottom, then return to the starting position without arching your back.",Machine
Seated Hip Abduction (Machine),/exercise/120,https://app.strength.muscleandmotion.com/exercise/120,Gluteus Medius,Tensor Fasciae Latae; Gluteus Minimus; Hip External Rotators (Deep Layer); Gluteus Maximus,,,Machine
Seated Hip Adductions (Machine),/exercise/276,https://app.strength.muscleandmotion.com/exercise/276,Adductor Longus; Adductor Brevis; Adductor Magnus; Gracilis; Pectineus; Hip Adductor Muscles,,,,Machine
Seated Hip Internal Rotation (Cable),/exercise/843,https://app.strength.muscleandmotion.com/exercise/843,Gluteus Medius; Gluteus Minimus,Tensor Fasciae Latae; Piriformis (Hip Rotators) (3),Gluteus Maximus,"Sit on a bench or chair with a low pulley on the side. Then, attach the cable ankle cuff to ankle furthest from the pulley. Grasp the bench and handlebar on the cable column if available. Position the thighs of both legs side by side, perpendicular to the cable. Raise the foot attached to cable slightly off the floor. Keeping the knee of the attached leg bent at approximately 90°, pull the cable attachment away from pulley by rotating the hip as far as possible. Return the foot to behind the stationary foot and toward the pulley. Repeat. Place the ankle cuff on the opposite leg and continue facing the opposite direction.",Bench; Cable
Seated Leg Curl (Machine),/exercise/278,https://app.strength.muscleandmotion.com/exercise/278,Hamstrings,Gastrocnemius; Sartorius; Gracilis; Popliteus,Erector Spinae; Quadratus Lumborum; Abdominal Muscles,"The seated leg curl is an isolation exercise that targets the hamstrings. Using the machine provides consistent resistance throughout the entire range of motion. To perform the exercise, adjust the machine so the pad is positioned just above your ankles. Sit on the machine with your back against the backrest and secure your legs under the pad. With your legs fully extended, curl your legs downward by flexing your knees, bringing the pad toward your glutes. Control the movement as you return to the starting position. Repeat for the desired number of repetitions.",Machine
Seated Leg Lift in Pike,/exercise/984,https://app.strength.muscleandmotion.com/exercise/984,Psoas Major; Iliacus; Abdominal Muscles,Sartorius; Tensor Fasciae Latae; External Oblique,,"The Seated Leg Lift is meant to strengthen the core muscles with an emphasis on the abdominal muscles and the hip flexors. Sit on the floor with your legs extended forward, lock your knees and point your toes. Put your hands on the floor, at about the knee line, engage your core and lift your legs straight up. Make sure not to rush this movement, don’t use momentum to get high but rather squeeze your core by bringing your legs up slowly. With your core still engaged, slowly lower your feet back down to the floor.",
Seated Leg Press (Machine),/exercise/182,https://app.strength.muscleandmotion.com/exercise/182,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Hamstrings,Leg Press - Seated (Machine),Machine
Seated One-arm Concentration Curl (Cable),/exercise/1168,https://app.strength.muscleandmotion.com/exercise/1168,"Biceps Brachii; Biceps Brachii, short head",Brachialis; Brachioradialis,Lower Trapezius,"Sit on the floor, fixate the cable end at ankle height and connect a handle to the other end.",Cable
Seated Overhead Tricep Extension (Barbell),/exercise/1434,https://app.strength.muscleandmotion.com/exercise/1434,Triceps Brachii,Anconeus,Latissimus Dorsi; Serratus Anterior; Abdominal Muscles,"The Seated Overhead Tricep Extension with a barbell is an isolated exercise that targets the triceps brachii in a lengthened position, optimizing muscle engagement and strength development. Sit upright with your back straight and grip the barbell with both hands, positioning them slightly closer than shoulder-width. Start with your arms fully extended overhead. Lower the barbell behind your head by bending your elbows in a controlled motion until you reach full elbow flexion. Push the barbell back up to the starting position, fully extending your elbows while keeping your upper arms stable. Repeat for the desired number of repetitions.",Barbell
Seated Overhead Tricep Extension (Dumbbell),/exercise/1435,https://app.strength.muscleandmotion.com/exercise/1435,Triceps Brachii,Anconeus,Latissimus Dorsi; Serratus Anterior; Abdominal Muscles,"The Seated Overhead Dumbbell Tricep Extension is an isolated exercise that targets the triceps brachii in a lengthened position. Sit upright with a dumbbell held overhead using both hands, arms fully extended, and your back straight. Lower the dumbbell behind your head by bending your elbows in a controlled motion until you reach full elbow flexion. Lift the dumbbell back up to the starting position, fully extending your elbows while keeping your upper arms stable. Repeat for the desired number of repetitions.",Dumbbell
Seated Plate Overhead Tricep Extension,/exercise/1015,https://app.strength.muscleandmotion.com/exercise/1015,Triceps Brachii,Anconeus,Abdominal Muscles; Latissimus Dorsi; Pelvic Diaphragm; Diaphragm; Erector Spinae,"Start sitting, holding a weight plate over your head with straight arms and back. Lower the plate behind the head by bending the elbows slowly to a full elbow flexion. Push the weight back up until the elbows are straight again.",
Seated Row (Machine),/exercise/281,https://app.strength.muscleandmotion.com/exercise/281,Latissimus Dorsi; Rhomboid Muscles,Teres Major; Posterior Deltoid; Rhomboid Muscles; Middle Deltoid; Levator Scapulae; Brachialis; Brachioradialis; Biceps Brachii,Erector Spinae; Gluteus Maximus; Quadriceps Femoris; Wrist Flexors; Subscapularis; Teres Minor; Infraspinatus; Supraspinatus; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,"Press your chest firmly into the pad and plant your feet flat on the floor, then grasp the handles with a neutral, palms-facing grip. Drive your elbows back while drawing your shoulder blades together. Hold for a moment, then return to the starting position. Repeat for the design number of repetitions.",Machine
Seated Row (Resistance Band),/exercise/282,https://app.strength.muscleandmotion.com/exercise/282,Latissimus Dorsi; Rhomboid Muscles; Middle Trapezius,Teres Major; Posterior Deltoid; Rhomboid Muscles; Levator Scapulae; Brachialis; Brachioradialis; Biceps Brachii,Erector Spinae; Gluteus Maximus; Quadriceps Femoris; Wrist Flexors; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Resistance Band
